area,inmueble,latitud,longitud,url,valor_publicado,fecha_registro,comprado,valor_compra,financiado,renta,fecha_compra,cuota
15000000.0,Venta De Lote Oriente Antioqueño,6.1439537,-75.1794782,https://lote-casalote.mercadolibre.com.co/MCO-1279984585-venta-de-lote-oriente-antioqueno-_JM#position=4&search_layout=grid&type=item&tracking_id=297dd173-ad9b-4988-89c2-aef8873669f2,160000000,12/04/2023,False,0,0,0,01/01/2000,0
10000,Lote Variante Aeropuerto Alto Palmas En Exclusivo Conjunto Campestre,6.1698997,-75.4792285,https://lote-casalote.mercadolibre.com.co/MCO-1410919558-lote-variante-aeropuerto-alto-palmas-en-exclusivo-conjunto-campestre-_JM#position=47&search_layout=grid&type=item&tracking_id=a7b2afa8-3a93-4b79-b060-02de560532e0,2000000000,12/04/2023,False,0,0,0,01/01/2000,0
158,Casa De Lujo En Condominio Plante En Marinilla Vereda Belén,6.1704884,-75.3351115,https://casa.mercadolibre.com.co/MCO-1282455595-casa-de-lujo-en-condominio-plante-en-marinilla-vereda-belen-_JM#position=48&search_layout=grid&type=item&tracking_id=1fd798a3-3863-4d7a-bb3a-b2ac8958bb6e,620000000,12/04/2023,False,0,0,0,01/01/2000,0
9433,"Vendo Finca En Guatapé, El Peñol.",6.2082179,-75.1909069,https://inmueble.mercadolibre.com.co/MCO-948239342-vendo-finca-en-guatape-el-penol-_JM#position=47&search_layout=grid&type=item&tracking_id=d48aaef8-8cc6-4fbd-b953-043f279d96c8,2000000000,12/04/2023,False,0,0,0,01/01/2000,0
3488,Lote En El Carmen De Viboral Sector Quirama,6.0765348,-75.3354878,https://lote-casalote.mercadolibre.com.co/MCO-1281449389-lote-en-el-carmen-de-viboral-sector-quirama-_JM#position=48&search_layout=grid&type=item&tracking_id=1dc05c86-a6de-4838-9af6-0bf9287bb8e6,550000000,12/04/2023,False,0,0,0,01/01/2000,0
2002,Vendo Hermosa Casa Campestre Guatape,6.2332691,-75.1560234,https://casa.mercadolibre.com.co/MCO-936035809-vendo-hermosa-casa-campestre-guatape-_JM#position=48&search_layout=grid&type=item&tracking_id=d48aaef8-8cc6-4fbd-b953-043f279d96c8,800000000,12/04/2023,False,0,0,0,01/01/2000,0
67,"Apartamento 3 Habitaciónes, 2 Baños, Parqueadero Y Cuarto Ut",6.0238141,-75.4227721,https://apartamento.mercadolibre.com.co/MCO-1281291473-apartamento-3-habitaciones-2-banos-parqueadero-y-cuarto-ut-_JM#position=2&search_layout=grid&type=item&tracking_id=eaad6780-f57c-49e3-af31-887a7e540626,260000000,12/04/2023,False,0,0,0,01/01/2000,0
60,Oportunidad De Negocio Vendo Apartamento En Rionegro,6.1490188,-75.3789523,https://apartamento.mercadolibre.com.co/MCO-1268573917-oportunidad-de-negocio-vendo-apartamento-en-rionegro-_JM#position=48&search_layout=grid&type=item&tracking_id=a7b2afa8-3a93-4b79-b060-02de560532e0,265000000,12/04/2023,False,0,0,0,01/01/2000,0
81,Pietra Santa Campestre Vendo Apartamento 1 Año De Uso,6.1228753,-75.3861539,https://apartamento.mercadolibre.com.co/MCO-1376720864-pietra-santa-campestre-vendo-apartamento-1-ano-de-uso-_JM#position=46&search_layout=grid&type=item&tracking_id=a7b2afa8-3a93-4b79-b060-02de560532e0,489000000,12/04/2023,False,0,0,0,01/01/2000,0
5281,Lote Oriente Antioqueño - 5.281 M2,,,https://lote-casalote.mercadolibre.com.co/MCO-1432788310-lote-oriente-antioqueno-5281-m2-_JM#position=19&search_layout=grid&type=item&tracking_id=1474073b-d0a1-4bca-8308-c02e3c0886b2,250000000,12/04/2023,False,0,0,0,01/01/2000,0
4000,Casa Finca En Marinilla 4 Mil Metros De Lote 1.300 Millones,6.1731064,-75.3378851,https://inmueble.mercadolibre.com.co/MCO-956406693-casa-finca-en-marinilla-4-mil-metros-de-lote-1300-millones-_JM#position=48&search_layout=grid&type=item&tracking_id=8b520f2e-a11f-45a7-ac8e-25e752ab7615,1300000000,12/04/2023,False,0,0,0,01/01/2000,0
64,"Apartamento En Venta En Marinilla, Antioquia",6.1731064,-75.3378851,https://apartamento.mercadolibre.com.co/MCO-1319933036-apartamento-en-venta-en-marinilla-antioquia-_JM#position=47&search_layout=grid&type=item&tracking_id=8b520f2e-a11f-45a7-ac8e-25e752ab7615,300000000,12/04/2023,False,0,0,0,01/01/2000,0
140,Venta De Casa  En La Bahía En Marinilla,6.1424679,-75.6077147,https://casa.mercadolibre.com.co/MCO-1371080950-venta-de-casa-en-la-bahia-en-marinilla-_JM#position=5&search_layout=grid&type=item&tracking_id=8b520f2e-a11f-45a7-ac8e-25e752ab7615,295000000,12/04/2023,False,0,0,0,01/01/2000,0
1545,"Lote Para Bodega En  Venta En Rionegro, Sector Vía El Tablazo",6.145227,-75.4277945,https://inmueble.mercadolibre.com.co/MCO-1295177820-lote-para-bodega-en-venta-en-rionegro-sector-via-el-tablazo-_JM#position=9&search_layout=grid&type=item&tracking_id=8dc58b43-ba1f-4a4e-86f0-4aa4b0b2731c,2858250000,12/04/2023,False,0,0,0,01/01/2000,0
4500,Finca De Recreo El Peñol Antioquia,6.216712,-75.243949,https://inmueble.mercadolibre.com.co/MCO-812496075-finca-de-recreo-el-penol-antioquia-_JM#position=4&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,500000000,12/04/2023,False,0,0,0,01/01/2000,0
11000,Venta De Lote Sector Vereda La Piedra Guatapé,6.2168448,-75.1461641,https://lote-casalote.mercadolibre.com.co/MCO-1255605832-venta-de-lote-sector-vereda-la-piedra-guatape-_JM#position=42&search_layout=grid&type=item&tracking_id=2b551779-8bf1-45d4-95d1-aab7f8d7917d,1760000800,12/04/2023,False,0,0,0,01/01/2000,0
1000,"Venta Y/o Arriendo Finca, El Peñol, Vereda El Morro, Antioquia, Col",6.2199662,-75.2435307,https://inmueble.mercadolibre.com.co/MCO-916999365-venta-yo-arriendo-finca-el-penol-vereda-el-morro-antioquia-col-_JM#position=48&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,700000000,12/04/2023,False,0,0,0,01/01/2000,0
355,"Sereno,llanogrande,esquina",6.127052,-75.3928563,https://lote-casalote.mercadolibre.com.co/MCO-1281465725-serenollanograndeesquina-_JM#position=48&search_layout=grid&type=item&tracking_id=8dc58b43-ba1f-4a4e-86f0-4aa4b0b2731c,700000000,12/04/2023,False,0,0,0,01/01/2000,0
100,Se Vende Casa Finca Urbana  En El Peñol,6.2476598,-75.565816,https://casa.mercadolibre.com.co/MCO-1138607011-se-vende-casa-finca-urbana-en-el-penol-_JM#position=47&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,550000000,12/04/2023,False,0,0,0,01/01/2000,0
5000,Finca En El Peñol Vereda El Marial,6.2333333,-75.2166667,https://inmueble.mercadolibre.com.co/MCO-1280584563-finca-en-el-penol-vereda-el-marial-_JM#position=39&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,1100000000,12/04/2023,False,0,0,0,01/01/2000,0
4000,Finca En El Peñol,6.2333333,-75.2166667,https://inmueble.mercadolibre.com.co/MCO-1269619652-finca-en-el-penol-_JM#position=43&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,1150000000,12/04/2023,False,0,0,0,01/01/2000,0
7200,"Venta Lote En El Peñol, Vereda Palestina, Antioquia",6.2099615,-75.1958605,https://lote-casalote.mercadolibre.com.co/MCO-805213705-venta-lote-en-el-penol-vereda-palestina-antioquia-_JM#position=46&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,920000000,12/04/2023,False,0,0,0,01/01/2000,0
2500,Finca En El Peñol Vereda Guamito,6.2333333,-75.2166667,https://inmueble.mercadolibre.com.co/MCO-1378562768-finca-en-el-penol-vereda-guamito-_JM#position=41&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,550000000,12/04/2023,False,0,0,0,01/01/2000,0
29000,Lote Paradisíaco En El Peñol Apto Para Parcelar,6.2199662,-75.2435307,https://lote-casalote.mercadolibre.com.co/MCO-1059441101-lote-paradisiaco-en-el-penol-apto-para-parcelar-_JM#position=45&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,2000000000,12/04/2023,False,0,0,0,01/01/2000,0
3300,Lote En El Peñol Acceso Embalse 3300 Mts 580 Millones,6.2199662,-75.2435307,https://lote-casalote.mercadolibre.com.co/MCO-1027576882-lote-en-el-penol-acceso-embalse-3300-mts-580-millones-_JM#position=42&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,580000000,12/04/2023,False,0,0,0,01/01/2000,0
3200,Terreno Para Proyecto Urbano En El Peñol,6.2199662,-75.2435307,https://lote-casalote.mercadolibre.com.co/MCO-1059364694-terreno-para-proyecto-urbano-en-el-penol-_JM#position=36&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,2500000000,12/04/2023,False,0,0,0,01/01/2000,0
12,Lotes En Venta Vereda El Carmelo 815-1374,6.223611,-75.178333,https://lote-casalote.mercadolibre.com.co/MCO-825780677-lotes-en-venta-vereda-el-carmelo-815-1374-_JM#position=40&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,476658214,12/04/2023,False,0,0,0,01/01/2000,0
5200,Terreo En El Peñol,6.2614013,-75.2211356,https://apartamento.mercadolibre.com.co/MCO-1059440927-terreo-en-el-penol-_JM#position=25&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,280000000,12/04/2023,False,0,0,0,01/01/2000,0
175000,Finca El Peñol Vereda Concordia Se Vende,6.2199662,-75.2435307,https://inmueble.mercadolibre.com.co/MCO-604903627-finca-el-penol-vereda-concordia-se-vende-_JM#position=33&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,3000000000,12/04/2023,False,0,0,0,01/01/2000,0
50000,Finca Lote En El Peñol,6.2199662,-75.2435307,https://lote-casalote.mercadolibre.com.co/MCO-1059376962-finca-lote-en-el-penol-_JM#position=32&search_layout=grid&type=item&tracking_id=bb8ace6e-22ac-4375-baf4-6d7b693412bd,1300000000,12/04/2023,False,0,0,0,01/01/2000,0
